run,arm,process_ms,cargo_ms,rust_delivery_envelope_ms,connect_ms,unpack_ms,pull_ms,dpkg_ms,rustup_ms,replay_drift
0,A,12712.739837,6012.980752,4001.453409,1107.702008,3998.654988,2.742202,270.261077,639.718188,-0.0%
1,B,14112.873747,6153.917293,3371.505449,3893.445375,3368.786994,2.686243,0.000000,86.790840,-0.1%
2,B,11023.591463,6032.749931,3356.750766,928.838532,3353.934083,2.790734,0.000000,79.092873,-0.1%
3,A,13259.889357,6955.880700,3905.481313,856.024546,3902.099855,3.337820,205.939874,654.068034,-0.1%
4,A,12383.635398,5952.896352,3871.461364,1029.737711,3867.750556,3.672276,208.253944,671.184829,-0.1%
5,B,11427.861622,6291.697642,3330.551055,1050.092430,3327.687467,2.828046,0.000000,88.190048,-0.0%
