run,arm,digest,compressed_bytes,metadata_commit_ms,content_lock_acquisition_ms,presync_ms,transaction_ms,local_commit_ms,local_file_sync_ms,directory_sync_ms,progress_final_write_to_completion_ms
0,A,sha256:039e6f9f9752f74a3ff4a6a224f64c7c864da16ed98f882107704328f41b9c42,28232590,22.256012,0.007330,20.913699,1.263222,1.110103,0.049371,0.838322,22.310404
0,A,sha256:167b9fde7ea2106ff0349f834ad13f3d5078836087edf8a9422da759c088f66c,288641068,173.765235,0.006896,170.848748,2.847010,1.852886,0.067124,1.525823,237.248988
1,B,sha256:12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,298210801,167.327021,0.003191,165.820841,1.455850,1.273160,0.094701,0.894476,195.503942
2,B,sha256:12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,298210801,186.957969,0.004877,185.500610,1.400866,1.273304,0.053896,0.990635,213.436315
3,A,sha256:039e6f9f9752f74a3ff4a6a224f64c7c864da16ed98f882107704328f41b9c42,28232590,17.037809,0.005358,15.528197,1.445380,1.217376,0.052901,0.877958,17.086629
3,A,sha256:167b9fde7ea2106ff0349f834ad13f3d5078836087edf8a9422da759c088f66c,288641068,148.706597,0.004907,147.332018,1.329872,1.205935,0.045447,0.939749,210.881426
4,A,sha256:039e6f9f9752f74a3ff4a6a224f64c7c864da16ed98f882107704328f41b9c42,28232590,16.905381,0.003434,15.542958,1.313675,1.164556,0.072986,0.882511,16.953450
4,A,sha256:167b9fde7ea2106ff0349f834ad13f3d5078836087edf8a9422da759c088f66c,288641068,171.102040,0.007920,169.769898,1.277643,1.133110,0.047701,0.884341,232.853581
5,B,sha256:12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,298210801,155.338883,0.006370,153.727013,1.563495,1.429527,0.062338,1.130644,179.676693
