goos: linux
goarch: amd64
pkg: github.com/dagger/dagger/internal/fsutil
cpu: Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz
BenchmarkSparseExportApply/Unrelated0/Write1-8         	    1611	     71445 ns/op	    2259 B/op	      28 allocs/op
BenchmarkSparseExportApply/Unrelated0/Write16-8        	     100	   1051668 ns/op	   24019 B/op	     297 allocs/op
BenchmarkSparseExportApply/Unrelated1000/Write1-8      	    1803	     66529 ns/op	    2255 B/op	      27 allocs/op
BenchmarkSparseExportApply/Unrelated1000/Write16-8     	     100	   1056500 ns/op	   24019 B/op	     297 allocs/op
BenchmarkSparseExportApply/Unrelated10000/Write1-8     	    1658	     70597 ns/op	    2255 B/op	      27 allocs/op
BenchmarkSparseExportApply/Unrelated10000/Write16-8    	     100	   1088496 ns/op	   24019 B/op	     297 allocs/op
BenchmarkSparseDirectoryFinalization/Unrelated0/Touched1-8         	   17558	      6798 ns/op	     976 B/op	       7 allocs/op
BenchmarkSparseDirectoryFinalization/Unrelated0/Touched16-8        	    1741	     68507 ns/op	    8616 B/op	      58 allocs/op
BenchmarkSparseDirectoryFinalization/Unrelated1000/Touched1-8      	   15145	      7836 ns/op	     976 B/op	       7 allocs/op
BenchmarkSparseDirectoryFinalization/Unrelated1000/Touched16-8     	    1774	     69600 ns/op	    8616 B/op	      58 allocs/op
BenchmarkSparseDirectoryFinalization/Unrelated10000/Touched1-8     	   17695	      6769 ns/op	     976 B/op	       7 allocs/op
BenchmarkSparseDirectoryFinalization/Unrelated10000/Touched16-8    	    1704	     68843 ns/op	    8616 B/op	      58 allocs/op
PASS
