scenario,sample,side,milliseconds,warmup,exit_code
application,0,before,1313.019251,True,0
application,0,after,1198.907434,True,0
application,0,native,149.341624,True,0
application,1,before,1286.125265,False,0
application,1,native,147.703582,False,0
application,1,after,1215.835546,False,0
application,2,after,1136.411656,False,0
application,2,before,1272.700743,False,0
application,2,native,146.385249,False,0
application,3,after,1070.388736,False,0
application,3,native,137.960836,False,0
application,3,before,1228.139934,False,0
application,4,native,139.190227,False,0
application,4,before,1213.760705,False,0
application,4,after,1083.830557,False,0
application,5,native,143.350841,False,0
application,5,after,1169.79524,False,0
application,5,before,1221.935261,False,0
application,6,before,1192.729454,False,0
application,6,after,1079.990636,False,0
application,6,native,179.087328,False,0
application,7,before,1261.120054,False,0
application,7,native,138.517167,False,0
application,7,after,1151.564031,False,0
application,8,after,1118.860014,False,0
application,8,before,1205.656269,False,0
application,8,native,138.03107,False,0
application,9,after,1097.613169,False,0
application,9,native,143.876652,False,0
application,9,before,1175.846142,False,0
application,10,native,153.248728,False,0
application,10,before,1219.736927,False,0
application,10,after,1136.426334,False,0
application,11,native,138.595976,False,0
application,11,after,1155.671766,False,0
application,11,before,1264.906201,False,0
application,12,before,1231.271976,False,0
application,12,after,1142.110196,False,0
application,12,native,175.553114,False,0
application,13,before,1246.566487,False,0
application,13,native,142.48951,False,0
application,13,after,1117.567875,False,0
application,14,after,1199.152489,False,0
application,14,before,1126.128479,False,0
application,14,native,142.20244,False,0
application,15,after,1195.488821,False,0
application,15,native,143.397051,False,0
application,15,before,1293.73097,False,0
application,16,native,138.72762,False,0
application,16,before,1334.947509,False,0
application,16,after,1079.405819,False,0
application,17,native,153.319051,False,0
application,17,after,1186.514484,False,0
application,17,before,1208.770187,False,0
application,18,before,1314.811252,False,0
application,18,after,1056.329282,False,0
application,18,native,140.751706,False,0
application,19,before,1207.661064,False,0
application,19,native,140.859674,False,0
application,19,after,1100.506298,False,0
application,20,after,1080.939699,False,0
application,20,before,1291.243065,False,0
application,20,native,138.080112,False,0
application,21,after,1157.286511,False,0
application,21,native,133.924871,False,0
application,21,before,1166.999797,False,0
application,22,native,144.2649,False,0
application,22,before,1200.394229,False,0
application,22,after,1153.959558,False,0
application,23,native,142.685626,False,0
application,23,after,1072.117787,False,0
application,23,before,1154.519444,False,0
application,24,before,1162.180667,False,0
application,24,after,1092.339979,False,0
application,24,native,138.003354,False,0
application,25,before,1201.532367,False,0
application,25,native,146.732284,False,0
application,25,after,1196.617678,False,0
application,26,after,1070.617562,False,0
application,26,before,1137.762067,False,0
