key,kind,side,case,role,timed,warmup,trace_id,process_ms,before_root_ms,root_ms,after_root_ms,cargo_exec_ms,non_exec_process_ms,query_count,spans,declared_engine_spans,received_engine_spans,gate_exit,replay_drift,complete_expected_execs
dagger-rust-generator-pair-2ktyg4uo-application-0-before,pilot,before,,,True,True,1a5d66e321002f2e9448162cb59c4c4e,1815.957526,47.329239,1758.383836,10.249324,407.635934,1408.3215919999998,30,470,449,449,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-application-0-after,pilot,after,,,True,True,b795c414f371a81adb5ef3f70881a47b,1271.743363,26.791693,1232.126925,12.829048,208.915395,1062.827968,30,467,446,446,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-application-0-before-messages,pilot,before,,,False,True,5136731e9bfbc399bde8cb230a8a9c1f,945.65745,28.518531,908.349687,8.793991,0,945.65745,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-application-0-after-messages,pilot,after,,,False,True,f7fb1eb7db8dc917a51b399152978870,810.455458,27.922143,772.299913,10.236719,0,810.455458,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-2ktyg4uo-application-1-before,pilot,before,,,True,False,bfb2e338dfed265e104ba117e0763b9c,1222.722582,27.993841,1183.573928,11.160059,217.25888,1005.4637020000001,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-application-1-after,pilot,after,,,True,False,d74076f44073ff0ca08073d0ced11766,1168.143154,28.817413,1129.706394,9.624328,213.958323,954.184831,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-application-1-before-messages,pilot,before,,,False,False,268e09c9f1488d076c5b94da6522067b,780.354664,29.185779,741.013758,10.159246,0,780.354664,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-application-1-after-messages,pilot,after,,,False,False,dc8843aa25c6caf94db0bb27b005ce7b,684.293313,27.784138,644.727635,11.786235,0,684.293313,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-application-2-after,pilot,after,,,True,False,fb8e666a7b91f0f4166076c6d22dafaf,1194.173051,26.72598,1153.33062,14.121242,201.670214,992.502837,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-application-2-before,pilot,before,,,True,False,75c49b98e3f612acb7e1357ba1e1c091,1234.84008,28.121384,1191.567315,15.15602,217.761908,1017.078172,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-application-2-before-messages,pilot,before,,,False,False,0ca7a17656db9dbeaa92d6d784caae4e,780.848872,27.472334,742.034127,11.34675,0,780.848872,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-application-2-after-messages,pilot,after,,,False,False,97a4e3b801cf0452cd60cf960dc5977a,721.773124,27.242027,684.338672,10.1975,0,721.773124,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-application-3-after,pilot,after,,,True,False,83c5f81cf7974e1f98bfe4909c8b70ed,1151.467778,28.648165,1111.733275,11.091318,234.583273,916.884505,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-application-3-before,pilot,before,,,True,False,c12381b7b5b86ee210e59390a8dc7e78,1238.424007,28.434715,1196.799482,13.194102,229.1504,1009.2736070000001,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-application-3-before-messages,pilot,before,,,False,False,8b6032e26ea10ac41fa3fe9e5ca94668,938.686353,28.282376,898.959919,11.448217,0,938.686353,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-2ktyg4uo-application-3-after-messages,pilot,after,,,False,False,f99afd50e70555efdeffefa0c0d1c03f,720.651508,27.667945,682.104306,10.883709,0,720.651508,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-2ktyg4uo-library-0-before,pilot,before,,,True,True,9ee63cd4bff555f45c9d4d3aebeb8633,1333.112081,28.083833,1293.772701,11.259757,289.651295,1043.460786,30,470,449,449,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-library-0-after,pilot,after,,,True,True,a3c32d6d3e6113c425e16c4c27e94165,1277.081678,28.625967,1237.293045,11.173549,324.645447,952.436231,30,470,449,449,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-library-0-before-messages,pilot,before,,,False,True,5d85fbdec588189a86c6d70e5cfc40df,852.796082,28.19212,814.768831,9.838601,0,852.796082,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-2ktyg4uo-library-0-after-messages,pilot,after,,,False,True,4160932acd5134e345b10d6fefb86a28,790.750734,29.052234,751.669856,10.032272,0,790.750734,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-library-1-after,pilot,after,,,True,False,a1a20409f140d6f721af6cd991a012ec,1401.062431,27.032635,1362.130804,11.903066,290.051929,1111.010502,30,470,449,449,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-library-1-before,pilot,before,,,True,False,5bf827674ae14077390a208146936bf3,1517.983064,28.25418,1476.833126,12.901236,272.339,1245.644064,30,470,449,449,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-library-1-before-messages,pilot,before,,,False,False,49c0e69c95fa23a8163c4950f362c710,781.870401,28.19041,744.232028,9.452343,0,781.870401,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-2ktyg4uo-library-1-after-messages,pilot,after,,,False,False,6f173cd1ef180fa7ac162d06388cad53,699.461647,28.348066,659.858117,11.260638,0,699.461647,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-2ktyg4uo-library-2-before,pilot,before,,,True,False,122a52985ffe266aeefe866811b2ec68,1556.931508,27.215081,1515.822759,13.8984,240.953933,1315.977575,30,470,449,449,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-library-2-after,pilot,after,,,True,False,5f6598fbcdf7d71a5569305e87bcfe5f,1330.452474,27.980704,1288.087884,14.38806,242.063028,1088.389446,30,469,0,449,1,-0.1%,False
dagger-rust-generator-pair-2ktyg4uo-library-2-before-messages,pilot,before,,,False,False,5dd4af1ccdf3ae3c56010fc56417d5fa,832.773445,29.412414,792.99867,10.365616,0,832.773445,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-library-2-after-messages,pilot,after,,,False,False,c0b94e7c0852d415943125b0a4f35f2f,749.608331,28.709911,711.947075,8.95572,0,749.608331,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-2ktyg4uo-library-3-before,pilot,before,,,True,False,9245fb9fd5b1c0708bc7ea23672701aa,1474.019672,26.859379,1433.313676,13.852246,250.382144,1223.637528,30,470,449,449,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-library-3-after,pilot,after,,,True,False,82b2401f0f12fc58c9f893c58a4bbc56,1422.374363,31.068462,1378.388028,12.923089,318.543648,1103.8307149999998,30,470,449,449,0,-0.1%,True
dagger-rust-generator-pair-2ktyg4uo-library-3-before-messages,pilot,before,,,False,False,f371e97fabdd31bc24166a8ffb405eae,802.096457,33.533945,759.058833,9.513794,0,802.096457,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-2ktyg4uo-library-3-after-messages,pilot,after,,,False,False,7a44a4ca036d3613da2c317a3937f074,771.454932,27.015153,734.132048,10.314155,0,771.454932,12,184,163,163,0,-0.0%,True
